,2020,2020,2020,2020,2020,
Tettbygde strøk,Spredtbygde strøk,Ukjent,I alt,Andel bosatte i tettbygde strøk,,
Viken,1084534,154272,2359,1241165,87,4
Oslo,689560,1548,2386,693494,99,4
Innlandet,219796,151196,393,371385,59,2
Vestfold og Telemark,345448,73390,558,419396,82,4
Agder,244395,62482,354,307231,79,5
Rogaland,424009,55066,817,479892,88,4
Vestland,511176,124257,1098,636531,80,3
Møre og Romsdal,194742,70025,471,265238,73,4
Trøndelag,351909,115881,912,468702,75,1
Nordland,172412,68407,416,241235,71,5
Troms og Finnmark,179000,63727,584,243311,73,6
