city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Oslo,59.9111,10.7528,Norway,NO,Oslo,primary,693494,693494
Bergen,60.3925,5.3233,Norway,NO,Hordaland,admin,257087,257087
Trondheim,63.4400,10.4000,Norway,NO,Sør-Trøndelag,minor,183378,183378
Stavanger,58.9701,5.7333,Norway,NO,Rogaland,admin,129300,129300
Sørum,59.9135,11.3472,Norway,NO,Akershus,,113659,113659
Drammen,59.7572,10.1907,Norway,NO,Buskerud,minor,90722,80153
Skien,59.2096,9.6090,Norway,NO,Telemark,admin,73330,73330
Kristiansand,58.1467,7.9956,Norway,NO,Vest-Agder,minor,64057,64057
Sandnes,58.8500,5.7333,Norway,NO,Rogaland,minor,58694,58694
Tønsberg,59.2981,10.4236,Norway,NO,Vestfold,minor,56293,56293
Sarpsborg,59.2839,11.1096,Norway,NO,Østfold,minor,54678,54678
Ålesund,62.4723,6.1549,Norway,NO,Møre og Romsdal,minor,52163,52163
Haugesund,59.4164,5.2700,Norway,NO,Rogaland,minor,45040,45040
Sandefjord,59.1312,10.2166,Norway,NO,Vestfold,,44368,44368
Bodø,67.2827,14.3751,Norway,NO,Nordland,admin,41720,41720
Tromsø,69.6489,18.9551,Norway,NO,Troms,admin,38980,38980
Moss,59.4370,10.6692,Norway,NO,Østfold,minor,36901,34492
Arendal,58.4617,8.7721,Norway,NO,Aust-Agder,admin,30916,30916
Hamar,60.7945,11.0680,Norway,NO,Hedmark,admin,27947,27947
Larvik,59.0532,10.0271,Norway,NO,Vestfold,,24647,24647
Gjøvik,60.8000,10.7000,Norway,NO,Oppland,minor,22719,17596
Harstad,68.7989,16.5314,Norway,NO,Troms,minor,21070,21070
Lillehammer,61.1161,10.4578,Norway,NO,Oppland,minor,20580,20580
Mo i Rana,66.3167,14.1667,Norway,NO,Nordland,minor,18899,18899
Molde,62.7483,7.1833,Norway,NO,Møre og Romsdal,admin,18594,13749
Kristiansund,63.1105,7.7279,Norway,NO,Møre og Romsdal,minor,18273,18273
Kongsvinger,60.1912,11.9992,Norway,NO,Hedmark,minor,17829,17829
Alta,69.9686,23.2714,Norway,NO,Finnmark,minor,15342,15342
Elverum,60.8833,11.5667,Norway,NO,Hedmark,minor,15117,15117
Narvik,68.4363,17.3983,Norway,NO,Nordland,minor,14148,14148
Drøbak,59.6667,10.6333,Norway,NO,Akershus,,13393,13393
Grimstad,58.3405,8.5934,Norway,NO,Aust-Agder,minor,13304,13304
Steinkjer,64.0147,11.4942,Norway,NO,Nord-Trøndelag,admin,12985,12985
Egersund,58.4500,6.0067,Norway,NO,Rogaland,minor,11433,11433
Førde,61.4519,5.8569,Norway,NO,Sogn og Fjordane,minor,10339,10339
Levanger,63.7464,11.2996,Norway,NO,Nord-Trøndelag,minor,10333,10333
Notodden,59.5594,9.2585,Norway,NO,Telemark,minor,9072,9072
Florø,61.5986,5.0172,Norway,NO,Sogn og Fjordane,minor,8925,8925
Namsos,64.4670,11.4940,Norway,NO,Nord-Trøndelag,minor,8471,8471
Hammerfest,70.6634,23.6821,Norway,NO,Finnmark,minor,8073,8073
Lillesand,58.2488,8.3778,Norway,NO,Aust-Agder,minor,7930,7930
Åkrehamn,59.2603,5.1856,Norway,NO,Rogaland,,7873,7873
Sandnessjøen,66.0167,12.6333,Norway,NO,Nordland,minor,6052,6052
Vossevangen,60.6300,6.4410,Norway,NO,Hordaland,,5571,5571
Brønnøysund,65.4749,12.2120,Norway,NO,Nordland,minor,5050,5050
Vadsø,70.0667,29.7500,Norway,NO,Finnmark,minor,4902,4902
Odda,60.0689,6.5456,Norway,NO,Hordaland,minor,4876,4876
Svolvær,68.2333,14.5667,Norway,NO,Nordland,minor,4686,4686
Finnsnes,69.2406,18.0086,Norway,NO,Troms,minor,3907,3315
Røros,62.5747,11.3842,Norway,NO,Sør-Trøndelag,minor,3851,3851
Fosnavåg,62.3417,5.6339,Norway,NO,Møre og Romsdal,minor,3563,3563
Kirkenes,69.7250,30.0517,Norway,NO,Finnmark,minor,3529,3529
Stokmarknes,68.5656,14.9058,Norway,NO,Nordland,minor,3395,3395
Måløy,61.9333,5.1167,Norway,NO,Sogn og Fjordane,minor,3313,3313
Rjukan,59.8811,8.5831,Norway,NO,Telemark,minor,3171,3171
Åsgårdstrand,59.3500,10.4667,Norway,NO,Vestfold,,3095,3095
Brevik,59.0589,9.6875,Norway,NO,Telemark,,3000,3000
Rørvik,64.8680,11.2053,Norway,NO,Nord-Trøndelag,minor,2615,2615
Tvedestrand,58.6219,8.9314,Norway,NO,Aust-Agder,minor,2592,2592
Honningsvåg,70.9758,25.9831,Norway,NO,Finnmark,minor,2465,2465
Åndalsnes,62.5672,7.6869,Norway,NO,Møre og Romsdal,minor,2416,2416
Brekstad,63.6870,9.6654,Norway,NO,Sør-Trøndelag,minor,2230,2230
Fagernes,60.9850,9.2306,Norway,NO,Oppland,minor,1921,1921
Vardø,70.3703,31.1106,Norway,NO,Finnmark,minor,1846,1846
Otta,61.7706,9.5414,Norway,NO,Oppland,minor,1737,1737
Kolbotn,59.8114,10.7983,Norway,NO,Akershus,minor,,
Lillestrøm,59.9500,11.0833,Norway,NO,Akershus,minor,,
Sandvika,59.8900,10.5264,Norway,NO,Akershus,minor,,
Asker,59.8333,10.4333,Norway,NO,Akershus,minor,,
Lørenskog,59.9408,10.9610,Norway,NO,Akershus,minor,,
Randaberg,59.0000,5.6000,Norway,NO,Rogaland,minor,,
Sola,58.8833,5.6000,Norway,NO,Rogaland,minor,,
Kleppestø,60.4094,5.2286,Norway,NO,Hordaland,minor,,
Fredrikstad,59.2167,10.9500,Norway,NO,Østfold,minor,,
Askim,59.5833,11.1667,Norway,NO,Østfold,minor,,
Porsgrunn,59.1405,9.6561,Norway,NO,Telemark,minor,,
Rygge,59.3833,10.7167,Norway,NO,Østfold,minor,,
Mjøndalen,59.7500,10.0167,Norway,NO,Buskerud,minor,,
Straume,60.3558,5.1196,Norway,NO,Hordaland,minor,,
Ski,59.7167,10.8333,Norway,NO,Akershus,minor,,
Røyken,59.7475,10.3936,Norway,NO,Buskerud,minor,,
Kopervik,59.2833,5.3000,Norway,NO,Rogaland,minor,,
Valderhaug,62.4985,6.1277,Norway,NO,Møre og Romsdal,minor,,
Ås,59.6667,10.8000,Norway,NO,Akershus,minor,,
Kleppe,58.7667,5.6667,Norway,NO,Rogaland,minor,,
Os,60.1835,5.4666,Norway,NO,Hordaland,minor,,
Fjerdingby,59.9255,11.0865,Norway,NO,Akershus,minor,,
Jessheim,60.1500,11.1833,Norway,NO,Akershus,minor,,
Langevåg,62.4372,6.1889,Norway,NO,Møre og Romsdal,minor,,
Stord,59.7738,5.4903,Norway,NO,Hordaland,minor,,
Bryne,58.7333,5.6500,Norway,NO,Rogaland,minor,,
Nittedal,60.0225,10.9239,Norway,NO,Akershus,minor,,
Rong,60.5133,4.9033,Norway,NO,Hordaland,minor,,
Røst,67.5167,12.1167,Norway,NO,Nordland,minor,,
Lier,59.7925,10.2525,Norway,NO,Buskerud,minor,,
Ulsteinvik,62.3333,5.8833,Norway,NO,Møre og Romsdal,minor,,
Sørumsand,59.9667,11.2500,Norway,NO,Akershus,minor,,
Frekhaug,60.5172,5.2461,Norway,NO,Hordaland,minor,,
Fetsund,59.9333,11.1667,Norway,NO,Akershus,minor,,
Skogsvåg,60.2556,5.1017,Norway,NO,Hordaland,minor,,
Hommelvik,63.4087,10.7995,Norway,NO,Sør-Trøndelag,minor,,
Gjerdrum,60.0833,11.1000,Norway,NO,Akershus,minor,,
Kvitsøy,59.0632,5.4161,Norway,NO,Rogaland,minor,,
Søgne,58.0833,7.8167,Norway,NO,Vest-Agder,minor,,
Fedje,60.7811,4.7131,Norway,NO,Sogn og Fjordane,minor,,
Mandal,58.0333,7.4500,Norway,NO,Vest-Agder,minor,,
Varhaug,58.6167,5.6500,Norway,NO,Rogaland,minor,,
Vikevåg,59.0981,5.6981,Norway,NO,Rogaland,minor,,
Råde,59.3500,10.8500,Norway,NO,Østfold,minor,,
Steinshamn,62.7833,6.4833,Norway,NO,Møre og Romsdal,minor,,
Sætre,59.6817,10.5247,Norway,NO,Buskerud,minor,,
Hareid,62.3667,6.0333,Norway,NO,Møre og Romsdal,minor,,
Austrheim,60.7644,4.9135,Norway,NO,Hordaland,minor,,
Falkhytta,62.8058,6.8858,Norway,NO,Møre og Romsdal,minor,,
Eidsvoll,60.3167,11.2333,Norway,NO,Akershus,minor,,
Jørpeland,59.0167,6.0500,Norway,NO,Rogaland,minor,,
Halden,59.1500,11.3833,Norway,NO,Østfold,minor,,
Raufoss,60.7167,10.6167,Norway,NO,Oppland,minor,,
Mysen,59.5500,11.3333,Norway,NO,Østfold,minor,,
Manger,60.6417,5.0392,Norway,NO,Hordaland,minor,,
Bremnes,59.7953,5.1753,Norway,NO,Hordaland,minor,,
Skjærhalden,59.0333,11.0333,Norway,NO,Østfold,minor,,
Langesund,59.0000,9.7500,Norway,NO,Telemark,minor,,
Storebø,60.0924,5.2322,Norway,NO,Hordaland,minor,,
Spydeberg,59.6000,11.0833,Norway,NO,Østfold,minor,,
Hokksund,59.7719,9.8839,Norway,NO,Buskerud,minor,,
Straumen,63.8712,11.2994,Norway,NO,Nord-Trøndelag,minor,,
Skodje,62.5167,6.7167,Norway,NO,Møre og Romsdal,minor,,
Skiptvet,59.4600,11.1601,Norway,NO,Østfold,minor,,
Vennesla,58.2833,7.9833,Norway,NO,Vest-Agder,minor,,
Risør,58.7167,9.2333,Norway,NO,Aust-Agder,minor,,
Røyse,60.0769,10.1965,Norway,NO,Buskerud,minor,,
Nannestad,60.2124,11.0044,Norway,NO,Akershus,minor,,
Sørland,67.6667,12.7000,Norway,NO,Nordland,minor,,
Klæbu,63.2989,10.4805,Norway,NO,Sør-Trøndelag,minor,,
Frosta,63.5889,10.7719,Norway,NO,Nord-Trøndelag,minor,,
Hobøl,59.5984,10.9420,Norway,NO,Østfold,minor,,
Kongsberg,59.6500,9.6500,Norway,NO,Buskerud,minor,,
Isdalstø,60.5556,5.2692,Norway,NO,Hordaland,minor,,
Brattvåg,62.6000,6.4500,Norway,NO,Møre og Romsdal,minor,,
Kragerø,58.8667,9.4167,Norway,NO,Telemark,minor,,
Børsa,63.3277,10.0683,Norway,NO,Sør-Trøndelag,minor,,
Jevnaker,60.2500,10.4667,Norway,NO,Oppland,minor,,
Bruhagen,63.0533,7.6323,Norway,NO,Møre og Romsdal,minor,,
Årnes,60.1500,11.4667,Norway,NO,Akershus,minor,,
Roa,60.2833,10.6167,Norway,NO,Oppland,minor,,
Farsund,58.0833,6.8000,Norway,NO,Vest-Agder,minor,,
Stange,60.7167,11.1833,Norway,NO,Hedmark,minor,,
Lena,60.6667,10.8000,Norway,NO,Oppland,minor,,
Utsira,59.3000,4.9000,Norway,NO,Rogaland,minor,,
Nodeland,58.1500,7.8500,Norway,NO,Vest-Agder,minor,,
Brumunddal,60.8833,10.9333,Norway,NO,Hedmark,minor,,
Lonevåg,60.5333,5.5000,Norway,NO,Hordaland,minor,,
Trøgstad,59.6459,11.2945,Norway,NO,Østfold,minor,,
Sistranda,63.7277,8.8267,Norway,NO,Sør-Trøndelag,minor,,
Vikersund,59.9833,10.0333,Norway,NO,Buskerud,minor,,
Judaberg,59.1833,5.8500,Norway,NO,Rogaland,minor,,
Aksdal,59.4259,5.4290,Norway,NO,Rogaland,minor,,
Leknes,68.1452,13.5993,Norway,NO,Nordland,minor,,
Elnesvågen,62.8538,7.1536,Norway,NO,Møre og Romsdal,minor,,
Stjørdal,63.4703,10.9122,Norway,NO,Nord-Trøndelag,minor,,
Sykkylven,62.3972,6.5832,Norway,NO,Møre og Romsdal,minor,,
Melhus,63.2858,10.2810,Norway,NO,Sør-Trøndelag,minor,,
Sveio,59.5447,5.3492,Norway,NO,Hordaland,minor,,
Bø,59.4167,9.0667,Norway,NO,Telemark,minor,,
Eide,62.9167,7.4333,Norway,NO,Møre og Romsdal,minor,,
Ålgård,58.7667,5.8500,Norway,NO,Rogaland,minor,,
Våler,59.4874,10.8527,Norway,NO,Østfold,minor,,
Midsund,62.6833,6.6833,Norway,NO,Møre og Romsdal,minor,,
Orkanger,63.3122,9.8533,Norway,NO,Sør-Trøndelag,minor,,
Lyngdal,58.1333,7.0833,Norway,NO,Vest-Agder,minor,,
Løten,60.8167,11.3167,Norway,NO,Hedmark,minor,,
Jaren,60.3833,10.5500,Norway,NO,Oppland,minor,,
Hønefoss,60.1667,10.3000,Norway,NO,Buskerud,minor,,
Vestnes,62.6333,7.0833,Norway,NO,Møre og Romsdal,minor,,
Rakkestad,59.4333,11.3500,Norway,NO,Østfold,minor,,
Bokn,59.2236,5.4452,Norway,NO,Rogaland,minor,,
Sogndal,61.2315,7.1027,Norway,NO,Sogn og Fjordane,minor,,
Sortland,68.7019,15.4239,Norway,NO,Nordland,minor,,
Fitjar,59.9175,5.3228,Norway,NO,Hordaland,minor,,
Larsnes,62.2167,5.6000,Norway,NO,Møre og Romsdal,minor,,
Ølen,59.6036,5.8075,Norway,NO,Rogaland,minor,,
Bjørkelangen,59.8833,11.5667,Norway,NO,Akershus,minor,,
Ulefoss,59.2833,9.2667,Norway,NO,Telemark,minor,,
Skarnes,60.2500,11.6833,Norway,NO,Hedmark,minor,,
Ørskog,62.4789,6.8116,Norway,NO,Møre og Romsdal,minor,,
Flekkefjord,58.2833,6.6833,Norway,NO,Vest-Agder,minor,,
Volda,62.1500,6.1000,Norway,NO,Møre og Romsdal,minor,,
Vigeland,58.0833,7.3000,Norway,NO,Vest-Agder,minor,,
Akkerhaugen,59.3940,9.2471,Norway,NO,Telemark,minor,,
Nordfjordeid,61.9000,6.0000,Norway,NO,Sogn og Fjordane,minor,,
Norheimsund,60.3667,6.1333,Norway,NO,Hordaland,minor,,
Rosendal,59.9833,6.0167,Norway,NO,Hordaland,minor,,
Myre,68.9000,15.0833,Norway,NO,Nordland,minor,,
Ørsta,62.2000,6.1500,Norway,NO,Møre og Romsdal,minor,,
Botngård,63.7688,9.8115,Norway,NO,Sør-Trøndelag,minor,,
Hermansverk,61.1833,6.8500,Norway,NO,Sogn og Fjordane,minor,,
Siljan,59.3000,9.7000,Norway,NO,Telemark,minor,,
Selje,62.0492,5.3481,Norway,NO,Sogn og Fjordane,minor,,
Hauge,58.3500,6.2833,Norway,NO,Rogaland,minor,,
Rissa,63.5832,9.9591,Norway,NO,Sør-Trøndelag,minor,,
Sagstua,60.3885,11.5376,Norway,NO,Hedmark,minor,,
